sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair	support_cutoff_possible_pairs
rep1	21850000	2530	2272	11811.0	4.66837944664	1000
rep1	21900000	2513	2253	11526.0	4.58654994031	1000
rep1	21950000	2496	2243	11544.0	4.625	1000
rep1	22000000	2479	2217	11706.0	4.72206534893	1000
rep1	22050000	2462	2228	11455.0	4.65272136474	1000
rep1	22100000	2445	2191	11285.0	4.61554192229	1000
rep1	22150000	2428	2171	11314.0	4.65980230643	1000
rep1	22200000	2411	2184	11369.0	4.71547075902	1000
rep1	22250000	2394	2152	11149.0	4.65705931495	1000
rep1	22300000	2377	2130	11019.0	4.63567522087	1000
rep1	22350000	2360	2119	11038.0	4.67711864407	1000
rep1	22400000	2343	2088	10841.0	4.626973965	1000
rep1	22450000	2326	2082	10836.0	4.65864144454	1000
rep1	22500000	2309	2071	10820.0	4.68601126029	1000
rep1	22550000	2292	2049	10708.0	4.67190226876	1000
rep1	22600000	2275	2024	10593.0	4.65626373626	1000
rep1	22650000	2258	2018	10418.0	4.61381753764	1000
rep1	22700000	2241	2022	10301.0	4.59660865685	1000
rep1	22750000	2224	2009	10371.0	4.66321942446	1000
rep1	22800000	2207	1983	10168.0	4.60715903942	1000
rep1	22850000	2190	1958	10148.0	4.63378995434	1000
rep1	22900000	2173	1940	10370.0	4.77220432582	1000
rep1	22950000	2156	1942	10161.0	4.71289424861	1000
rep1	23000000	2139	1913	9889.0	4.6231884058	1000
rep1	23050000	2122	1882	9988.0	4.7068803016	1000
rep1	23100000	2105	1875	9859.0	4.68361045131	1000
rep1	23150000	2088	1844	9743.0	4.66618773946	1000
rep1	23200000	2071	1861	9758.0	4.7117334621	1000
rep1	23250000	2054	1852	9649.0	4.6976630964	1000
rep1	23300000	2037	1836	9481.0	4.65439371625	1000
rep1	23350000	2020	1773	9539.0	4.72227722772	1000
rep1	23400000	2003	1778	9551.0	4.76834747878	1000
rep1	23450000	1986	1755	9274.0	4.6696878147	1000
rep1	23500000	1969	1761	9425.0	4.78669375317	1000
rep1	23550000	1952	1746	9146.0	4.68545081967	1000
rep1	23600000	1935	1715	9148.0	4.72764857881	1000
