duplication_type	gene	age	mean_ATAC_TSS_2kb
TRD	Pbre1_12G159400	young	0.21604503997974095
TD	Pbre1_09G183800	young	0.650651899870485
TRD	Pbre1_07G179600	young	0.5124067946169525
TRD	Pbre1_05G535000	young	0.8307110492587089
TRD	Pbre1_01G033400	young	0.538432572381571
TRD	Pbre1_03G279000	young	1.083305223800242
TD	Pbre1_02G381200	young	0.41355039072968064
PD	Pbre1_02G396600	young	0.9321049142330885
TRD	Pbre1_03G257800	young	0.002259899973869324
TD	Pbre1_13G396000	young	0.16273651852458715
TRD	Pbre1_04G085200	young	0.5093283305838704
PD	Pbre1_01G136200	young	0.5869216694906354
PD	Pbre1_06G031800	young	0.4241816517096013
TD	Pbre1_02G444000	young	0.9415939020588994
TD	Pbre1_07G421200	young	0.9494231392871588
TD	Pbre1_09G210800	young	0.23426189956627788
PD	Pbre1_12G380000	young	0.39358510881289843
PD	Pbre1_10G491600	young	0.45504092691466214
TRD	Pbre1_17G334600	young	1.3225195221621544
TD	Pbre1_08G358600	young	0.5846551578901708
PD	Pbre1_11G123800	young	0.7422597939521074
PD	Pbre1_17G296400	young	0.15598571009002624
TRD	Pbre1_16G510400	young	0.0
TD	Pbre1_16G204800	young	1.1577143503353
TRD	Pbre1_15G099200	young	1.2015557056376711
PD	Pbre1_02G021200	young	0.0
TRD	Pbre1_15G784600	young	0.5658803516719491
TD	Pbre1_09G099000	young	1.105407046481967
TRD	Pbre1_06G096800	young	0.7414462978951633
PD	Pbre1_07G135200	young	0.3935886111743748
TRD	Pbre1_05G468000	young	0.23948209532536566
TRD	Pbre1_02G379200	young	0.3084572540335357
TD	Pbre1_10G259800	young	0.6707413486242294
PD	Pbre1_08G162000	young	0.7590308318287133
TRD	Pbre1_06G153000	young	0.62299658440426
TRD	Pbre1_10G122600	young	1.2160394434034825
TRD	Pbre1_15G229000	young	0.777093210220337
PD	Pbre1_17G390000	young	1.898362696953118
TD	Pbre1_10G029600	young	0.0
TRD	Pbre1_16G447000	young	0.9310023442655802
TD	Pbre1_07G091600	young	0.3157009674254805
PD	Pbre1_17G416000	young	0.6681945260521024
PD	Pbre1_01G327600	young	0.7536487563000991
TRD	Pbre1_08G082000	young	0.26571114802360535
PD	Pbre1_02G452000	young	0.18530447574332357
TD	Pbre1_15G720800	young	0.2795063121244311
TRD	Pbre1_07G129400	young	0.0288543391181156
