duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_11G507800	Pbre1_11G507600	1.4530328681549076	4.739748914005616
TD	15DAF	Pbre1_12G221800	Pbre1_12G221600	3.5081939736459273	0.0
TD	15DAF	Pbre1_02G155400	Pbre1_02G155200	2.767906029858854	4.9881040840006285
TD	15DAF	Pbre1_01G331800	Pbre1_01G331600	0.0	0.0
TD	15DAF	Pbre1_14G380200	Pbre1_14G380000	2.5146684236254004	2.6984827628609622
TD	15DAF	Pbre1_03G299400	Pbre1_03G299200	4.346949445478634	3.1092355092698143
TD	15DAF	Pbre1_01G216600	Pbre1_01G216400	0.0	0.0
TD	15DAF	Pbre1_03G386400	Pbre1_03G386200	4.533900249180098	3.399516205361984
TD	15DAF	Pbre1_06G409200	Pbre1_06G409000	0.0	0.0
TD	15DAF	Pbre1_09G094000	Pbre1_09G093800	0.14056010855287943	1.0956409152242077
TD	15DAF	Pbre1_16G041200	Pbre1_16G041000	0.0	0.0
TD	15DAF	Pbre1_17G112400	Pbre1_17G112200	4.023326154415482	4.007599453289396
TD	15DAF	Pbre1_17G378800	Pbre1_17G378600	4.430198949588083	3.605874632753547
TD	15DAF	Pbre1_12G380000	Pbre1_12G379800	1.3164713258786707	0.34789238819533774
TD	15DAF	Pbre1_06G068200	Pbre1_06G068000	1.2229930757151883	2.4942059115310804
TD	15DAF	Pbre1_05G417000	Pbre1_05G416800	3.513007071120414	2.8263949306072784
TD	15DAF	Pbre1_05G252600	Pbre1_05G252800	1.287074479619851	3.713605093743391
TD	15DAF	Pbre1_05G330800	Pbre1_05G330600	2.6272750735049084	2.780142719909538
TD	15DAF	Pbre1_05G093200	Pbre1_05G093000	7.341210899806526	2.9740310745082046
TD	15DAF	Pbre1_17G218800	Pbre1_17G218600	0.30626924025291635	5.322783287393708
TD	15DAF	Pbre1_03G064600	Pbre1_03G064400	1.4857065798333882	0.3615864673334004
TD	15DAF	Pbre1_01G374600	Pbre1_01G374400	3.6405241050506034	3.568025049415716
TD	15DAF	Pbre1_06G310800	Pbre1_06G310600	0.2806534942044885	3.634098694730027
TD	15DAF	Pbre1_07G396000	Pbre1_07G395800	1.166173609635751	1.2149006671272766
TD	15DAF	Pbre1_10G423200	Pbre1_10G423000	0.0	0.10816980293061369
TD	15DAF	Pbre1_14G136200	Pbre1_14G136400	2.5352559642701364	0.0
TD	15DAF	Pbre1_06G206600	Pbre1_06G206400	3.6709704852088483	2.827777165534231
TD	15DAF	Pbre1_15G243400	Pbre1_15G243200	2.3502454606851924	2.8545171580011925
TD	15DAF	Pbre1_09G356000	Pbre1_09G355800	5.830930617983813	5.633872989861899
TD	15DAF	Pbre1_06G056600	Pbre1_06G056400	3.3114226082811875	3.6038729394615117
TD	15DAF	Pbre1_10G000400	Pbre1_10G000200	0.0	0.31294625100656537
TD	15DAF	Pbre1_05G422400	Pbre1_05G422200	7.065775079401631	1.8427954420315602
TD	15DAF	Pbre1_16G454200	Pbre1_16G454000	1.10202179444574	1.1658714303836661
