duplication_type	trajectory	role	log2_TPM_plus_1
TRD	Neo(C)	P	2.9712768318868683
TRD	Neo(C)	P	3.8742669952982207
TRD	Neo(C)	P	6.960908080948056
TRD	Neo(C)	P	7.088164304914958
TRD	Neo(C)	P	2.421976109908662
TRD	Neo(C)	P	4.334217975349558
TRD	Neo(C)	P	5.588554853567305
TRD	Neo(C)	P	5.588554853567305
TRD	Neo(C)	P	4.310837391413348
TRD	Neo(C)	P	3.501441077243653
TRD	Neo(C)	P	6.122427082948265
TRD	Neo(C)	P	5.318248555769473
TRD	Neo(C)	P	5.873237502151157
TRD	Neo(C)	P	4.496244786969937
TRD	Neo(C)	P	4.002682375308422
TRD	Neo(C)	P	4.058845603226501
TRD	Neo(C)	P	8.398491376353855
TRD	Neo(C)	P	4.41434481685461
TRD	Neo(C)	P	2.6991855451499642
TRD	Neo(C)	P	3.2909433750034247
TRD	Neo(C)	P	4.256364794705506
TRD	Neo(C)	P	4.152279636086613
TRD	Neo(C)	P	0.7615357726986592
TRD	Neo(C)	P	3.09274812184574
TRD	Neo(C)	P	4.953493895974273
TRD	Neo(C)	P	4.733450625543449
TRD	Neo(C)	P	6.044037073734777
TRD	Neo(C)	P	6.111365185714743
TRD	Neo(C)	P	4.327784259065146
TRD	Neo(C)	P	5.615647134328423
TRD	Neo(C)	P	4.687620837357748
TRD	Neo(C)	P	3.490325617413409
TRD	Neo(C)	P	3.931193330564048
TRD	Neo(C)	P	6.2577766453292645
TRD	Neo(C)	P	9.39515413217075
TRD	Neo(C)	P	5.363498894306461
TRD	Neo(C)	P	3.9660174668900923
TRD	Neo(C)	P	5.890739048764082
TRD	Neo(C)	P	4.216820149015351
TRD	Neo(C)	P	3.0922827456698263
TRD	Neo(C)	P	0.039187301960921475
TRD	Neo(C)	P	4.2404447130491665
TRD	Neo(C)	P	5.651444247005575
TRD	Neo(C)	P	5.05682264276675
TRD	Neo(C)	P	3.501441077243653
TRD	Neo(C)	P	4.502080762899018
TRD	Neo(C)	P	0.2955128243289668
TRD	Neo(C)	P	0.022124413543262826
TRD	Neo(C)	P	3.027113641790634
