sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair
rep2	24300000	1705	1479	8320.000000	4.87976539589
rep2	24350000	1689	1461	8181.000000	4.84369449378
rep2	24400000	1673	1455	7972.000000	4.76509264794
rep2	24450000	1657	1463	7961.000000	4.80446590223
rep2	24500000	1641	1417	7501.000000	4.57099329677
rep2	24550000	1625	1405	7602.000000	4.67815384615
rep2	24600000	1610	1398	7471.000000	4.64037267081
rep2	24650000	1595	1394	7343.000000	4.60376175549
rep2	24700000	1580	1372	7451.000000	4.71582278481
rep2	24750000	1565	1346	7232.000000	4.62108626198
rep2	24800000	1550	1343	7296.000000	4.70709677419
rep2	24850000	1535	1328	7163.000000	4.6664495114
rep2	24900000	1520	1321	7121.000000	4.68486842105
rep2	24950000	1505	1309	7113.000000	4.72624584718
rep2	25000000	1490	1281	6991.000000	4.69194630872
rep2	25050000	1475	1297	6924.000000	4.69423728814
rep2	25100000	1460	1267	6957.000000	4.76506849315
rep2	25150000	1445	1256	6702.000000	4.63806228374
rep2	25200000	1430	1249	6707.000000	4.69020979021
rep2	25250000	1415	1241	6667.000000	4.71166077739
rep2	25300000	1400	1202	6383.000000	4.55928571429
rep2	25350000	1385	1201	6500.000000	4.69314079422
rep2	25400000	1370	1182	6478.000000	4.72846715328
rep2	25450000	1355	1193	6367.000000	4.69889298893
rep2	25500000	1340	1152	6344.000000	4.73432835821
