duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status
TRD	Pbre1_16G354600	Pbre1_13G345600	Prupe.1G033600.1	1.5035208333333334	0.563529	2.6787005	0.6561982205673098	0.6751176500265842	0.953183784539168	0.6558639216975911	0.6579145031313883	0.6476120972672396	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_17G147600	Pbre1_13G347800	Prupe.3G233500.1	32.405638499999995	0.0343528333333333	34.47026783333333	0.6802359809931525	1.0	0.6253758387059571	0.0930037526024729	0.9665947844659144	0.0920860650678347	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_07G406400	Pbre1_13G352400	Prupe.2G276400.1	0.8650935	0.3445661666666667	7.399626	0.7526768620614025	0.4906913830577443	0.894680183161263	0.4707248560292605	0.6195324852590396	0.4690008443756594	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_05G256000	Pbre1_13G359800	Prupe.8G181200.1	22.604154166666667	12.913793	111.46912466666666	0.3969019316495513	0.3394062014194294	0.481080699776617	0.1617055320866345	0.1424462700350007	0.1305495358580085	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_15G365400	Pbre1_13G377400	Prupe.7G213700.1	43.45705233333334	26.189806333333333	43.559181	0.4906245800074457	0.3618004674034438	0.6064616098618976	0.2680892263946164	0.2821844749270188	0.261701821997256	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_09G046200	Pbre1_13G377600	Prupe.3G291100.1	12.225825833333332	26.822085666666663	77.60770116666666	0.4458565650279865	0.372106319374817	0.6922987260562969	0.3488083724651398	0.1923439557232828	0.2342600039922346	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_02G179600	Pbre1_13G396400	Prupe.7G178400.1	6.536911	0.1282211666666666	9.2188885	0.5322577102879713	1.0	0.6219237097073815	0.2398392222208835	1.0334851250485972	0.2410142871360513	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_07G402200	Pbre1_13G397600	Prupe.2G273700.1	35.831897833333336	0.0373296666666666	24.27556	0.39636066505576	0.9012989437746718	0.5407393474999966	0.2056957026805815	0.7240511544104676	0.2061814629908344	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_14G306400	Pbre1_13G419000	Prupe.5G160800.1	143.10113533333333	0.5059348333333333	84.39080233333333	0.4166360547995317	0.8459095004942858	0.3443719906174489	0.206721767849239	0.4559919166769579	0.2060868575530535	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_16G287000	Pbre1_13G422800	Prupe.1G136500.1	16.3068605	0.0662261666666666	15.202060333333334	0.698375929344444	0.8842112373837718	0.6719591305445498	0.0824509836546467	0.6899909353165719	0.0807467449781857	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_12G418000	Pbre1_13G430800	Prupe.6G354100.1	11.014410333333334	0.0103703333333333	74.0202905	0.9115149080654998	1.0	0.7214884785243829	0.5244644168383736	1.143374678670494	0.5242891076603823	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_05G429600	Pbre1_13G445800	Prupe.4G106400.1	0.0305093333333333	0.0466241666666666	33.960937	0.9759302781041912	0.9914070859477816	0.2107160633411665	0.8500092432645273	0.9173631469748216	0.8897395804207745	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_04G058800	Pbre1_13G446800	Prupe.1G189000.1	87.75474083333333	50.20428566666666	229.44477316666664	0.3168911918697462	0.3861021183342704	0.6199854104912099	0.13728858293079	0.1745366371244668	0.1462842526332673	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_04G072400	Pbre1_13G453000	Prupe.1G198600.1	7.539558333333334	7.897095	6.87088	0.2983669699957257	0.4030052372903008	0.447285728031802	0.2191741867010903	0.1499788512342463	0.1759665336354124	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_04G074000	Pbre1_13G454000	Prupe.1G199800.1	23.745238166666667	29.6204765	21.819300166666665	0.3920987116522217	0.2354055136771077	0.4313369245157396	0.2182444067376544	0.1554734152739038	0.1778515909649068	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_04G068000	Pbre1_13G456000	Prupe.1G196500.1	3.2097675	5.7698425	13.6348955	0.4295630393899426	0.5713687131183152	0.6555805962007141	0.3219714437643423	0.2995296845233186	0.2665735074115714	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_07G437000	Pbre1_13G460400	Prupe.2G293000.1	160.15757366666668	54.367721	287.35491533333334	0.3409101646494893	0.4363610966250648	0.3716516355191077	0.1025265739111854	0.1431376038962188	0.1085813056414286	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_03G346600	Pbre1_13G468000	Prupe.4G204500.1	24.434126666666668	29.20940483333333	77.58373416666666	0.321290280392502	0.2827445829418785	0.5096486937512206	0.1983370994330839	0.2441007551410168	0.2058830663894566	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_11G402400	Pbre1_13G469800	Prupe.4G182100.1	53.39874866666667	45.1923635	25.78155233333333	0.3742899513216541	0.190162283986418	0.5306891753518845	0.2017896696197146	0.1688785620285035	0.1739336076133835	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_04G022600	Pbre1_13G483000	Prupe.1G163200.1	20.188547	0.027915	32.25483083333333	0.2741538013521812	1.0	0.3202532354774142	0.1054922901441616	0.8602002202535816	0.1051971399643183	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
