loop_set	analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	note	p_adj_BH
strict	TRD	capture_any_strict	780	-0.13950892287698682	0.2535326017269027	-0.6364236911684535	0.35740584541447995	0.5821408568445541	0.4547452009623647	cluster-robust SE by duplicate family	0.6849955668520761
strict	TRD	delta_promoter_OCR	780	0.42081570733495954	0.23736374385790937	-0.044408681862133315	0.8860400965320524	0.07624979918878491	0.4547452009623647	cluster-robust SE by duplicate family	0.159431398303823
strict	TRD	delta_ATAC	780	0.17219165640559428	0.14883122497268653	-0.11951218431584962	0.46389549712703815	0.24728902608523895	0.4547452009623647	cluster-robust SE by duplicate family	0.35445838564639437
strict	TRD	delta_log_gene_length	780	0.18631610566085233	0.10067965840237446	-0.011012398783597055	0.3836446101053017	0.06422950808212206	0.4547452009623647	cluster-robust SE by duplicate family	0.14706353669788794
strict	TRD	delta_GC	780	-0.04644572081908012	0.11812852280429909	-0.2779733710624248	0.18508192942426455	0.6941868640679203	0.4547452009623647	cluster-robust SE by duplicate family	0.7602998987410556
strict	TRD	delta_gene_density	780	0.15897624985429337	0.07205743537429089	0.01774627170236076	0.300206228006226	0.02736695362132651	0.4547452009623647	cluster-robust SE by duplicate family	0.08681930114351859
strict	TRD_peach_polarized	Intercept	774	-1.008511653036722	0.12856312562427627	-1.260490749000202	-0.756532557073242	4.347300163740546e-15	0.4551709652379231	cluster-robust SE by duplicate family	2.499697594150814e-14
strict	TRD_peach_polarized	C(trajectory)[T.Neo(C)]	774	-3.1509962125710516	0.22177842266885334	-3.5856739335501056	-2.7163184915919976	8.189290850414707e-46	0.4551709652379231	cluster-robust SE by duplicate family	1.255691263730255e-44
strict	TRD_peach_polarized	C(trajectory)[T.Neo(P)]	774	3.2000459213936234	0.6263872356868757	1.9723494990717445	4.427742343715503	3.243241442661757e-07	0.4551709652379231	cluster-robust SE by duplicate family	1.6576567373604535e-06
strict	TRD_peach_polarized	C(trajectory)[T.Spe]	774	-0.2645964274383999	0.20835795037733618	-0.6729705060705626	0.1437776511937628	0.20411569442306698	0.4551709652379231	cluster-robust SE by duplicate family	0.3237697221883131
strict	TRD_peach_polarized	capture_delta_strict	774	-0.3171351796315846	0.27530318556228667	-0.8567195081628138	0.22244914889964468	0.24934210529340128	0.4551709652379231	cluster-robust SE by duplicate family	0.35445838564639437
strict	TRD_peach_polarized	capture_any_strict	774	-0.1529480902243504	0.2550164080745029	-0.6527710655171455	0.34687488506844466	0.5486676341633024	0.4551709652379231	cluster-robust SE by duplicate family	0.6641766097766293
strict	TRD_peach_polarized	delta_promoter_OCR	774	0.4241025476836122	0.23729961254251203	-0.04099614644502064	0.889201241812245	0.07390470624422946	0.4551709652379231	cluster-robust SE by duplicate family	0.15812169708067697
strict	TRD_peach_polarized	delta_ATAC	774	0.17117203332567782	0.1490715308880748	-0.121002798335199	0.46334686498655464	0.25086357968986395	0.4551709652379231	cluster-robust SE by duplicate family	0.35445838564639437
strict	TRD_peach_polarized	delta_log_gene_length	774	0.18495451374750319	0.100272915042801	-0.011576788361231383	0.38148581585623775	0.06510867671026986	0.4551709652379231	cluster-robust SE by duplicate family	0.14706353669788794
strict	TRD_peach_polarized	delta_GC	774	-0.05075905007660737	0.11740201811955057	-0.2808627773032453	0.1793446771500306	0.6654852724328042	0.4551709652379231	cluster-robust SE by duplicate family	0.7451157292196383
strict	TRD_peach_polarized	delta_gene_density	774	0.15791979387548996	0.07246477254409824	0.01589144954117047	0.2999481382098095	0.029312140011742937	0.4551709652379231	cluster-robust SE by duplicate family	0.08962439274349657
strict	TRD_multi_outgroup_polarized	Intercept	501	-1.2508480422637895	0.15184290905757666	-1.5484546753244306	-0.9532414092031485	1.754396137658989e-16	0.43056527473343165	cluster-robust SE by duplicate family	1.3450370388718916e-15
strict	TRD_multi_outgroup_polarized	C(trajectory)[T.Neo(C)]	501	-3.070677658403707	0.211461020949335	-3.4851336435984734	-2.6562216732089405	8.887889348787764e-48	0.43056527473343165	cluster-robust SE by duplicate family	2.0442145502211858e-46
strict	TRD_multi_outgroup_polarized	C(trajectory)[T.Neo(P)]	501	2.288096940293391	0.7134065733047862	0.8898457502818762	3.686348130304906	0.001339950004240251	0.43056527473343165	cluster-robust SE by duplicate family	0.004931016015604125
strict	TRD_multi_outgroup_polarized	C(trajectory)[T.Spe]	501	-0.3309692515281319	0.28929065720731245	-0.897968520718387	0.23603001766212311	0.2525939065450121	0.43056527473343165	cluster-robust SE by duplicate family	0.35445838564639437
strict	TRD_multi_outgroup_polarized	capture_delta_strict	501	-0.05270812631966178	0.21497901120491197	-0.474059245713322	0.36864299307399845	0.8063186017419511	0.43056527473343165	cluster-robust SE by duplicate family	0.8625733879099942
strict	TRD_multi_outgroup_polarized	capture_any_strict	501	0.14424167877865754	0.22750094044513802	-0.3016519709428047	0.5901353285001198	0.5260633737670104	0.43056527473343165	cluster-robust SE by duplicate family	0.6540247349535805
strict	TRD_multi_outgroup_polarized	delta_promoter_OCR	501	0.34438282536047105	0.2467055079730788	-0.13915108505442259	0.8279167357753647	0.1627365453117593	0.43056527473343165	cluster-robust SE by duplicate family	0.29943524337363714
strict	TRD_multi_outgroup_polarized	delta_ATAC	501	0.13624862824937922	0.12333921347400538	-0.10549178804116868	0.3779890445399271	0.2693043668929892	0.43056527473343165	cluster-robust SE by duplicate family	0.35907248919065227
strict	TRD_multi_outgroup_polarized	delta_log_gene_length	501	0.1281395283349914	0.10227285192691878	-0.07231157803796728	0.3285906347079501	0.21023543923468657	0.43056527473343165	cluster-robust SE by duplicate family	0.327824752704935
strict	TRD_multi_outgroup_polarized	delta_GC	501	-0.02576090086137611	0.11223436752552303	-0.2457362190390331	0.19421441731628086	0.8184587617324094	0.43056527473343165	cluster-robust SE by duplicate family	0.8654966216020881
strict	TRD_multi_outgroup_polarized	delta_gene_density	501	0.17680529192681155	0.08324405000696024	0.013649951985918257	0.33996063186770487	0.033675237054839664	0.43056527473343165	cluster-robust SE by duplicate family	0.09112122967780145
